OBJECTID,CHITRT0_,CHITRT0_ID,TRACT,STATE,COUNTY,CNTYTRT,POPU,Dist_5_mi,Dist_10_mi,Dist_15_mi,Dist_20_mi,Beta_6,Beta_8,Beta_10,Beta_12,Beta_14,Beta_16,Beta_18,Dist
977,978,421,10600,17,31,31010600,7178,3.798444217,4.032021407,3.495668018,3.317314267,3.197394631,3.322472318,3.38996339,3.378218219,3.277342126,3.099911741,2.885745695,0
978,979,422,10700,17,31,31010700,10799,4.067660346,4.076480576,3.497949318,3.33394454,3.210228913,3.339501786,3.40346695,3.369894936,3.216450853,2.946142548,2.596676135,0
979,980,423,20400,17,31,31020400,4024,4.067660346,4.079691327,3.573164923,3.33394454,3.256161038,3.414870188,3.518515034,3.535675435,3.443171767,3.240750658,2.960690779,0
980,981,424,20300,17,31,31020300,8939,3.861249907,4.147117661,3.594397602,3.356319117,3.30495571,3.506053491,3.685189516,3.830041776,3.935513015,4.010652251,4.084423105,0
981,982,426,20700,17,31,31020700,8824,4.208689817,4.223357564,3.640224118,3.554749168,3.45028458,3.759372435,4.124057206,4.581693622,5.172264346,5.911977474,6.77415967,0
982,983,427,90200,17,31,31090200,6401,4.145797812,3.719091399,4.144808341,3.708854617,3.167373017,3.300393442,3.412282798,3.501355513,3.565367619,3.59569351,3.582022396,0
983,984,429,805600,17,31,31805600,4721,3.127788884,3.874933574,4.042924102,3.756678549,3.172883013,3.335915316,3.508776551,3.698848362,3.900268267,4.073552603,4.146695082,0
984,985,430,805701,17,31,31805701,5061,2.900083296,3.47129818,4.1541241,3.839060447,3.130920262,3.296970361,3.499861979,3.763924204,4.096187257,4.450004045,4.711740801,0
985,986,431,806600,17,31,31806600,3225,2.608869075,3.465777615,3.765587054,3.764592028,2.967625439,2.99763915,2.980882321,2.909463267,2.77593272,2.571667316,2.295107147,0
986,987,432,120200,17,31,31120200,4358,3.850951332,4.586828416,3.914801013,3.742337747,3.310455595,3.509958252,3.722429561,3.997837819,4.430940809,5.154550497,6.302262238,0
987,988,437,10800,17,31,31010800,5346,4.067660346,4.085344467,3.501276861,3.33394454,3.247063509,3.377431409,3.424785249,3.348978742,3.125758037,2.766450198,2.324208175,0
988,989,438,20500,17,31,31020500,7084,4.132447512,4.110406186,3.519654919,3.33394454,3.28089052,3.428572218,3.49626462,3.442817443,3.241817362,2.901258171,2.471203758,0
989,990,439,20600,17,31,31020600,10520,4.132447512,4.147117661,3.650672747,3.410239449,3.318269027,3.493855978,3.605194622,3.615196031,3.496183319,3.246966573,2.903802118,0
990,991,441,10900,17,31,31010900,1146,3.864134163,4.082133716,3.495668018,3.33394454,3.237995348,3.364014719,3.406941276,3.32757604,3.103069149,2.746369635,2.311408317,0
991,992,442,90300,17,31,31090300,1466,2.453184109,3.980979454,4.14414505,3.793133522,3.238009478,3.460482805,3.755870605,4.197631938,4.890960011,5.956261736,7.502074387,0
992,993,443,100200,17,31,31100200,6860,3.06911612,4.228466041,4.051220352,3.830722862,3.186714598,3.284632283,3.318804199,3.275792789,3.152090449,2.955965441,2.709636451,0
993,994,446,30100,17,31,31030100,13456,4.346867495,3.937404502,3.5421765,3.299478492,3.246397455,3.374770221,3.419662011,3.343164012,3.125527847,2.784218978,2.375891831,0
994,995,447,30200,17,31,31030200,5906,3.658242956,4.082133716,3.497499147,3.402102485,3.318224048,3.521683831,3.70016339,3.840500032,3.938133879,4.006341779,4.079161632,0
995,996,448,30300,17,31,31030300,3692,3.864134163,4.110406186,3.51737362,3.410239449,3.316227306,3.48814989,3.590464432,3.58370742,3.44135832,3.17020738,2.817736818,0
996,997,449,20900,17,31,31020900,10662,4.132447512,4.152770802,3.586340061,3.410239449,3.322770677,3.480127564,3.547511175,3.478242068,3.243579942,2.855604,2.373909064,0
997,998,450,20800,17,31,31020800,13163,4.208689817,4.257815931,3.629232446,3.427437491,3.397635093,3.61141692,3.76664574,3.824514182,3.752901602,3.543185971,3.222623858,0
998,999,452,130100,17,31,31130100,4850,4.633317771,4.461969274,3.834076425,3.587767698,3.329052445,3.472788017,3.5221077,3.437612995,3.197141833,2.812392709,2.335293514,0
999,1000,453,120300,17,31,31120300,6244,4.261993859,4.697308543,3.917922605,3.647658927,3.288448514,3.408389493,3.435772457,3.341114934,3.113032824,2.767987236,2.351003893,0
1000,1001,454,100100,17,31,31100100,5654,3.287332328,4.24969549,3.997477741,3.794469816,3.21062938,3.301296994,3.311567634,3.223366545,3.032724203,2.753875667,2.419786919,0
1001,1002,455,110100,17,31,31110100,5432,3.335085581,4.149197983,3.975360362,3.747414694,3.263045226,3.387897679,3.448877383,3.437387018,3.36202235,3.248873929,3.133332025,0
1002,1003,456,100300,17,31,31100300,6519,2.922347623,4.487238579,4.137269376,3.863914501,3.209897603,3.337300009,3.429810958,3.491431171,3.537376167,3.589347465,3.669651695,0
1003,1004,457,100400,17,31,31100400,3105,2.64795441,4.207863682,4.207362292,3.854040111,3.222165493,3.398193613,3.597360518,3.860508466,4.247616977,4.824082451,5.641789204,0
1004,1005,458,810400,17,31,31810400,5279,2.296038979,3.982600235,4.244337191,3.864106843,3.147349733,3.247928886,3.307449548,3.321166573,3.286798645,3.200231186,3.059274254,0
1005,1006,459,805702,17,31,31805702,2016,2.978500867,3.628312505,4.257654749,3.900594805,3.083578584,3.158970108,3.190371201,3.169508537,3.086797525,2.927062611,2.677520389,0
1006,1007,464,30500,17,31,31030500,7611,3.534370801,4.036156437,3.597571485,3.335895507,3.386214902,3.615886754,3.809397581,3.938138147,3.981465819,3.943798998,3.861901989,0
1007,1008,465,30400,17,31,31030400,3163,4.693788173,4.110667386,3.616178169,3.34403247,3.384367354,3.586157524,3.715391431,3.725164894,3.582103261,3.291164176,2.90452737,0
1008,1009,467,40100,17,31,31040100,4611,3.744924064,4.409208609,3.676543468,3.379859785,3.409272225,3.599162013,3.691318163,3.630415634,3.381413275,2.957617467,2.428253698,0
1009,1010,469,30600,17,31,31030600,10001,3.069373551,4.167166719,3.562457689,3.322194828,3.319965946,3.482903038,3.560261542,3.504964916,3.288007886,2.922984852,2.470616044,0
1010,1011,470,130300,17,31,31130300,5164,4.186770988,4.380773531,3.789998484,3.592063113,3.383563966,3.562853953,3.657472189,3.624063957,3.431926206,3.082757084,2.622852956,0
1011,1012,472,760800,17,31,31760800,11639,2.741061408,3.90954875,4.38248913,3.909173451,3.066064197,3.08025649,3.005717943,2.830980596,2.558793335,2.208599329,1.817597958,0
1012,1013,474,120400,17,31,31120400,3452,3.459552188,4.794557587,4.034581649,3.747509706,3.319093246,3.446867625,3.486991982,3.418269502,3.2377941,2.964934486,2.636738256,0
1013,1014,481,30700,17,31,31030700,10044,3.123697027,4.114882886,3.590705733,3.337510905,3.409507931,3.632251897,3.786402819,3.817818517,3.682809086,3.377820827,2.9519451,0
1014,1015,483,30800,17,31,31030800,4712,3.254174138,4.262060064,3.616178169,3.3450415,3.460881682,3.715501483,3.910395763,3.988495739,3.89918645,3.63003779,3.223847201,0
1015,1016,484,100500,17,31,31100500,5886,2.444428226,4.368038674,4.17197662,3.900485419,3.181931653,3.294681959,3.383358525,3.474127528,3.611261868,3.831739579,4.129801494,0
1016,1017,485,30900,17,31,31030900,3613,3.717440399,4.262060064,3.616178169,3.392595813,3.453344109,3.683306749,3.832068748,3.840128126,3.662393529,3.300125642,2.813072336,0
1017,1018,486,40200,17,31,31040200,15359,3.751467922,4.444005503,3.683903051,3.505001444,3.489196089,3.723680569,3.873582564,3.880607671,3.695700772,3.308591436,2.770906249,0
1018,1019,487,40300,17,31,31040300,3381,3.751467922,4.5284758,3.685345399,3.486805495,3.512790552,3.790220647,4.025386889,4.171394971,4.168505736,3.963242963,3.550284982,0
1019,1020,488,130500,17,31,31130500,6820,3.411628386,4.62270513,3.983626977,3.652756852,3.404800516,3.575684979,3.646182531,3.569604833,3.316133341,2.89496937,2.366206303,0
1020,1021,491,110200,17,31,31110200,2634,3.335085581,4.588843466,4.049180589,3.814221411,3.252181078,3.347772198,3.352576199,3.246206389,3.025569412,2.709806221,2.338793079,0
1021,1022,492,110300,17,31,31110300,5216,3.252581486,4.425928055,4.065667183,3.81949483,3.230731862,3.308399045,3.288380761,3.150250075,2.891917624,2.535024204,2.123951382,0
